date,fgindex
29/02/2012,74.85609015
01/03/2012,72.14587632
02/03/2012,69.40174164
03/03/2012,65.19424421
05/03/2012,62.15679731
06/03/2012,63.76542511
09/03/2012,63.60782104
10/03/2012,65.99588526
11/03/2012,71.33104871
13/03/2012,80.28382616
14/03/2012,77.09779022
16/03/2012,80.62875531
18/03/2012,77.69816958
19/03/2012,76.47865516
20/03/2012,67.42693003
21/03/2012,72.54865423
22/03/2012,68.76298734
24/03/2012,75.39355155
25/03/2012,74.03835374
26/03/2012,70.3119688
28/03/2012,65.18680599
29/03/2012,59.97465189
02/04/2012,65.63590914
03/04/2012,63.84714256
04/04/2012,59.45663615
05/04/2012,57.78985738
06/04/2012,56.20427048
07/04/2012,53.21627837
08/04/2012,51.30550581
09/04/2012,42.21710297
10/04/2012,38.54380796
11/04/2012,41.34559271
13/04/2012,40.1257147
15/04/2012,35.46315823
17/04/2012,37.31323837
21/04/2012,35.64138536
22/04/2012,34.38939223
23/04/2012,39.00591759
24/04/2012,38.02337948
26/04/2012,40.4282602
29/04/2012,41.37610481
01/05/2012,45.50863096
03/05/2012,41.37543821
04/05/2012,38.08924562
07/05/2012,35.75133396
08/05/2012,34.58254175
09/05/2012,31.99089182
11/05/2012,28.270882
12/05/2012,26.80736472
13/05/2012,23.75835144
14/05/2012,22.48793302
15/05/2012,17.25391097
16/05/2012,13.43546165
17/05/2012,15.96637306
22/05/2012,15.8298352
23/05/2012,13.79716574
28/05/2012,14.27057294
29/05/2012,12.04293207
31/05/2012,8.883687389
01/06/2012,10.4757807
04/06/2012,12.73799893
05/06/2012,10.92890711
06/06/2012,16.16583796
08/06/2012,17.48330621
09/06/2012,19.12221765
11/06/2012,17.58763518
12/06/2012,21.41549481
13/06/2012,25.44648565
14/06/2012,29.10484709
15/06/2012,30.56128153
17/06/2012,31.63810892
18/06/2012,34.58210023
19/06/2012,40.82473571
21/06/2012,30.3466926
23/06/2012,32.37773192
24/06/2012,28.4660443
26/06/2012,30.88440247
27/06/2012,38.79075729
28/06/2012,50.4267755
30/06/2012,53.64214228
02/07/2012,55.13126869
05/07/2012,53.7282999
06/07/2012,52.14267664
07/07/2012,51.00930816
08/07/2012,49.68798575
10/07/2012,47.90567696
11/07/2012,42.16211106
12/07/2012,46.21794386
15/07/2012,43.56382544
16/07/2012,46.71405587
17/07/2012,47.97396624
18/07/2012,53.01451673
23/07/2012,44.92703976
24/07/2012,43.04389561
25/07/2012,50.81128251
26/07/2012,60.1776186
27/07/2012,58.02635898
31/07/2012,54.63799075
01/08/2012,56.72123697
02/08/2012,59.94768705
03/08/2012,62.86928883
05/08/2012,66.93394297
06/08/2012,70.57774742
08/08/2012,72.95701835
13/08/2012,75.57062476
14/08/2012,74.55427185
15/08/2012,76.82788539
17/08/2012,78.67680764
20/08/2012,79.49889859
21/08/2012,77.19521987
23/08/2012,70.36561798
24/08/2012,69.14584905
27/08/2012,67.71387796
28/08/2012,62.88491151
29/08/2012,65.86972472
30/08/2012,60.28540328
31/08/2012,59.55102672
04/09/2012,62.89722543
05/09/2012,77.39571497
06/09/2012,78.32458313
07/09/2012,79.7835671
09/09/2012,84.50864005
10/09/2012,78.05537628
11/09/2012,86.8892851
12/09/2012,90.37709865
13/09/2012,92.01906256
18/09/2012,92.39684296
22/09/2012,83.550954
23/09/2012,91.13223223
24/09/2012,76.93485197
25/09/2012,74.47870364
26/09/2012,72.71695971
30/09/2012,72.51297598
01/10/2012,74.67747771
03/10/2012,78.65060767
06/10/2012,74.70692931
07/10/2012,65.36394845
08/10/2012,70.0217251
09/10/2012,60.1129281
10/10/2012,57.03486794
11/10/2012,52.08415522
12/10/2012,54.42137604
16/10/2012,60.3149685
17/10/2012,57.74025628
18/10/2012,56.26403593
19/10/2012,61.33059421
21/10/2012,54.82615375
22/10/2012,55.94395106
24/10/2012,40.98422885
27/10/2012,40.11832583
30/10/2012,39.19958004
31/10/2012,42.93416113
01/11/2012,49.53964108
05/11/2012,53.80716474
06/11/2012,42.62810083
07/11/2012,41.06955971
09/11/2012,39.01987074
12/11/2012,40.3234828
13/11/2012,32.93165229
14/11/2012,30.28629605
15/11/2012,31.82870349
18/11/2012,31.44703711
19/11/2012,37.72728182
20/11/2012,40.3106558
21/11/2012,45.26765505
23/11/2012,46.3758087
28/11/2012,51.29611281
29/11/2012,46.34050881
02/12/2012,42.75401031
03/12/2012,40.2179479
04/12/2012,39.32012859
05/12/2012,46.55222357
06/12/2012,44.45182754
07/12/2012,50.09191808
09/12/2012,51.59038642
10/12/2012,54.61372045
12/12/2012,57.7231186
14/12/2012,59.7281181
16/12/2012,61.46507427
17/12/2012,64.12458754
20/12/2012,61.47158011
21/12/2012,56.50432684
22/12/2012,54.55593284
23/12/2012,52.83837273
25/12/2012,51.32077701
26/12/2012,58.50630089
27/12/2012,60.0080194
28/12/2012,56.1202581
29/12/2012,64.36619974
30/12/2012,63.22793175
31/12/2012,73.64778674
01/01/2013,78.32241018
02/01/2013,79.8804362
03/01/2013,81.68232268
07/01/2013,80.048783
08/01/2013,82.58934713
10/01/2013,84.55860907
13/01/2013,85.75005126
14/01/2013,86.98231476
15/01/2013,88.60086719
17/01/2013,86.36472716
20/01/2013,89.7517218
22/01/2013,91.54684532
25/01/2013,93.34319461
28/01/2013,92.61273873
29/01/2013,91.61669288
30/01/2013,88.38472516
02/02/2013,83.05887593
03/02/2013,84.79571878
05/02/2013,86.39176082
08/02/2013,83.49821583
09/02/2013,84.97404805
12/02/2013,86.42198406
14/02/2013,84.286335
15/02/2013,83.59860984
17/02/2013,85.77971294
18/02/2013,78.56414359
19/02/2013,82.71715253
20/02/2013,73.40111443
21/02/2013,72.14763372
22/02/2013,69.7084231
23/02/2013,62.3959682
24/02/2013,58.98988283
25/02/2013,60.68783204
02/03/2013,62.46731171
03/03/2013,65.61456582
04/03/2013,67.06432387
05/03/2013,71.87444892
06/03/2013,72.76340548
08/03/2013,77.98832238
12/03/2013,79.528835
13/03/2013,78.27540882
14/03/2013,77.15728427
15/03/2013,75.49720785
16/03/2013,73.68128642
17/03/2013,70.95744971
18/03/2013,65.24602085
19/03/2013,67.85757788
24/03/2013,70.3803862
25/03/2013,68.73877901
29/03/2013,71.41267691
30/03/2013,70.4470462
01/04/2013,67.87206128
02/04/2013,66.43226586
03/04/2013,56.47271636
04/04/2013,55.43091145
05/04/2013,54.13497287
10/04/2013,61.70519312
11/04/2013,53.55646254
13/04/2013,51.76221772
14/04/2013,48.79793839
15/04/2013,45.54571816
16/04/2013,40.72548589
17/04/2013,37.48775772
20/04/2013,41.03935061
21/04/2013,42.29252832
22/04/2013,43.81680014
23/04/2013,47.37348083
24/04/2013,49.8800726
25/04/2013,53.58498241
27/04/2013,55.74408468
29/04/2013,57.08494086
01/05/2013,68.40852278
02/05/2013,71.72822112
03/05/2013,73.19729391
06/05/2013,75.03360573
07/05/2013,76.89321977
08/05/2013,74.19994364
09/05/2013,78.31562298
10/05/2013,81.68595262
11/05/2013,83.05775483
12/05/2013,84.70731109
13/05/2013,86.47880666
16/05/2013,88.07773768
17/05/2013,89.8036055
20/05/2013,88.73018153
21/05/2013,85.74900086
22/05/2013,84.41083164
23/05/2013,76.53450239
25/05/2013,75.48411825
28/05/2013,76.43208406
29/05/2013,68.94534789
30/05/2013,55.21222423
01/06/2013,51.77685868
02/06/2013,50.21163338
03/06/2013,48.44319204
05/06/2013,32.77208643
09/06/2013,40.4542273
10/06/2013,39.15835689
11/06/2013,24.83727385
12/06/2013,22.2829717
17/06/2013,29.9851833
18/06/2013,28.63010669
19/06/2013,24.64953505
20/06/2013,19.8447226
21/06/2013,17.53998154
22/06/2013,21.58329622
23/06/2013,15.67334176
24/06/2013,21.04080501
25/06/2013,18.39834198
26/06/2013,22.03637818
27/06/2013,23.08981223
01/07/2013,28.96637609
02/07/2013,29.6437023
03/07/2013,32.62460767
04/07/2013,35.60543946
06/07/2013,39.73442656
07/07/2013,40.75392461
08/07/2013,46.74959777
09/07/2013,44.84403832
10/07/2013,56.06506016
11/07/2013,57.7120697
13/07/2013,59.21492699
15/07/2013,61.99216442
