symbol,date,change,action
BNI,05/17/2010,-100,decrease
COP,05/17/2010,-9.366100321,decrease
IRM,05/17/2010,11.35428571,increase
JNJ,05/17/2010,-11.94516886,decrease
KMX,05/17/2010,-3.42625,decrease
MDLZ,05/17/2010,-22.80840731,decrease
PG,05/17/2010,-9.607199198,decrease
RSG,05/17/2010,30.60370303,increase
TRV,05/17/2010,-100,decrease
UNH,05/17/2010,-100,decrease
WLP,05/17/2010,-100,decrease
BDX,08/16/2010,8.357242129,increase
COP,08/16/2010,-14.83242654,decrease
FISV,08/16/2010,100,new
IRM,08/16/2010,2.632524247,increase
JNJ,08/16/2010,72.9470855,increase
NLC,08/16/2010,1.666666667,increase
PG,08/16/2010,-1.29682643,decrease
SNY,08/16/2010,4.091822273,increase
BK,11/15/2010,100,new
CMCSK,11/15/2010,-98.442525,decrease
FISV,11/15/2010,-11.11818182,decrease
HD,11/15/2010,-100,decrease
IR,11/15/2010,-88.70595749,decrease
IRM,11/15/2010,-100,decrease
JNJ,11/15/2010,3.158310266,increase
KMX,11/15/2010,-100,decrease
NKE,11/15/2010,-52.32392357,decrease
NLC,11/15/2010,-32.87103825,decrease
NRG,11/15/2010,-100,decrease
PG,11/15/2010,-1.671554608,decrease
RSG,11/15/2010,-100,decrease
BAC,02/15/2011,-100,decrease
BDX,02/15/2011,-100,decrease
BK,02/15/2011,-9.978326531,decrease
CMCSK,02/15/2011,-100,decrease
FISV,02/15/2011,-100,decrease
LOW,02/15/2011,-100,decrease
NKE,02/15/2011,-100,decrease
NLC,02/15/2011,-100,decrease
NSRGY,02/15/2011,-100,decrease
COP,05/16/2011,-0.027482308,decrease
IBM,05/16/2011,93.1269683,new
MA,05/16/2011,6.873031699,new
DG,08/15/2011,41.1011104,new
IBM,08/15/2011,450.1546558,increase
MA,08/15/2011,87.5,increase
MDLZ,08/15/2011,-5.462132512,decrease
VRSK,08/15/2011,58.8988896,new
COP,11/15/2011,-0.002405363,decrease
CVS,11/15/2011,20.2350361,new
DG,11/15/2011,200.2568434,increase
DTV,11/15/2011,19.11440082,new
GD,11/15/2011,18.55176882,new
IBM,11/15/2011,130.7365709,increase
INTC,11/15/2011,21.19417449,new
JNJ,11/15/2011,-12.14739726,decrease
MDLZ,11/15/2011,-9.772944813,decrease
V,11/15/2011,20.90461978,new
CVS,02/15/2012,25.53435789,increase
DTV,02/15/2012,378.8534852,increase
DVA,02/15/2012,60.51387995,new
GD,02/15/2012,26.52049881,increase
IBM,02/15/2012,11.43341441,increase
INTC,02/15/2012,23.16511304,increase
JNJ,02/15/2012,-22.50836841,decrease
MDLZ,02/15/2012,-3.021832288,decrease
STRZA,02/15/2012,39.48612005,new
V,02/15/2012,25.01627607,increase
VRSK,02/15/2012,63.96116366,increase
XOM,02/15/2012,-100,decrease
BK,05/16/2012,212.5825917,increase
CDCO,05/16/2012,-100,decrease
DG,05/16/2012,-19.12465559,decrease
DTV,05/16/2012,13.02903422,increase
DVA,05/16/2012,123.5053083,increase
gm,05/16/2012,76.75981569,new
IBM,05/16/2012,0.766390525,increase
INTC,05/16/2012,-32.62287951,decrease
IR,05/16/2012,-0.094250707,decrease
LEE,05/16/2012,0.633997184,new
MDLZ,05/16/2012,-10.36086372,decrease
PG,05/16/2012,-4.57480962,decrease
STRZA,05/16/2012,76.3253791,increase
USB,05/16/2012,-0.000144845,decrease
VIAB,05/16/2012,22.60618713,new
VRSK,05/16/2012,-35.26475394,decrease
WMT,05/16/2012,19.65051642,increase
BK,08/15/2012,233.831984,increase
COP,08/15/2012,-0.798256084,decrease
CVS,08/15/2012,-25.39342855,decrease
DG,08/15/2012,-8.695758564,decrease
DTV,08/15/2012,23.57040992,increase
DVA,08/15/2012,55,increase
GE,08/15/2012,-35.60440479,decrease
IBM,08/15/2012,3.493550035,increase
INTC,08/15/2012,-100,decrease
IR,08/15/2012,-96.79245283,decrease
JNJ,08/15/2012,-64.39078235,decrease
LEE,08/15/2012,94.89899554,increase
MDLZ,08/15/2012,-24.59814452,decrease
NOV,08/15/2012,16.85859139,new
PG,08/15/2012,-18.63639891,decrease
PSX,08/15/2012,83.14140861,new
STRZA,08/15/2012,83.33333333,increase
UPS,08/15/2012,-81.67506297,decrease
USB,08/15/2012,-4.401278483,decrease
V,08/15/2012,-27.41175592,decrease
VIAB,08/15/2012,328.0535538,increase
VRSK,08/15/2012,-16.06516698,decrease
BK,11/15/2012,4.884741939,increase
COP,11/15/2012,-16.43557332,decrease
CVS,11/15/2012,-100,decrease
DE,11/15/2012,50.60517257,new
DG,11/15/2012,-100,decrease
DTV,11/15/2012,3.993216212,increase
DVA,11/15/2012,9.65127957,increase
GE,11/15/2012,-88.24228206,decrease
IBM,11/15/2012,1.309167703,increase
IR,11/15/2012,-100,decrease
JNJ,11/15/2012,-95.23834409,decrease
LEE,11/15/2012,-64.94784895,decrease
MDLZ,11/15/2012,-48.2131234,decrease
MEG,11/15/2012,3.711760291,new
NOV,11/15/2012,47.36027031,increase
PCP,11/15/2012,31.46088663,new
PG,11/15/2012,-11.4242841,decrease
UPS,11/15/2012,-77.31958763,decrease
USB,11/15/2012,-7.175849752,decrease
V,11/15/2012,-25.20605542,decrease
VIAB,11/15/2012,11.65384841,increase
VRSK,11/15/2012,-16.47747094,decrease
WBC,11/15/2012,14.22218051,new
ADM,02/15/2013,42.69784463,new
DTV,02/15/2013,15.1643005,increase
DVA,02/15/2013,33.44293135,increase
gm,02/15/2013,66.66666667,increase
IBM,02/15/2013,0.885080898,increase
JNJ,02/15/2013,-33.52004357,decrease
KRFT,02/15/2013,19.85739942,new
LEE,02/15/2013,-92.14102519,decrease
MDLZ,02/15/2013,-57.85089785,decrease
NOV,02/15/2013,26.46412535,increase
PCP,02/15/2013,58.32608029,increase
STRZA,02/15/2013,2.224363636,increase
VRSN,02/15/2013,37.44475596,new
WBC,02/15/2013,154.6442794,increase
WMT,02/15/2013,1.697862441,increase
ADM,05/16/2013,-100,decrease
BK,05/16/2013,-3.538774615,decrease
CBI,05/16/2013,39.17249068,new
