Date,Open,High,Low,Close,Volume,Adj Close
15/06/2012,133.38,134.26,133.1,134.14,169444500,130.57
18/06/2012,133.58,134.73,133.28,134.4,131360900,130.82
19/06/2012,135.08,136.25,134.37,135.7,137382600,132.09
20/06/2012,135.71,136.1,134.27,135.48,206451800,131.88
21/06/2012,135.64,135.78,132.33,132.44,205272200,128.92
22/06/2012,133.13,133.71,132.62,133.46,130029200,129.91
25/06/2012,132.05,132.1,130.85,131.32,146375700,127.83
26/06/2012,131.7,132.38,130.93,131.98,141634000,128.47
27/06/2012,132.42,133.43,131.97,133.17,108088000,129.63
28/06/2012,132.29,132.99,131.28,132.79,169242100,129.26
29/06/2012,135.2,136.27,134.85,136.1,212250900,132.48
02/07/2012,136.48,136.65,135.52,136.51,129524500,132.88
03/07/2012,136.48,137.51,136.34,137.41,80450000,133.75
05/07/2012,136.9,137.8,136.29,136.79,126177500,133.15
06/07/2012,135.47,135.77,134.85,135.49,151192100,131.88
09/07/2012,135.38,135.57,134.7,135.32,103780500,131.72
10/07/2012,136.01,136.23,133.68,134.14,167884800,130.57
11/07/2012,134.21,134.6,133.38,134.16,141733400,130.59
12/07/2012,133.38,134.23,132.6,133.51,143583200,129.96
13/07/2012,133.86,135.89,133.84,135.75,129642600,132.14
16/07/2012,135.44,135.83,134.9,135.43,97525200,131.83
17/07/2012,135.97,136.64,134.55,136.36,138860300,132.73
18/07/2012,136.04,137.64,135.96,137.37,113349700,133.71
19/07/2012,137.65,138.18,137.21,137.73,129847300,134.07
20/07/2012,136.95,137.16,136.32,136.47,142904500,132.84
23/07/2012,134.47,136.38,133.84,135.09,145210900,131.5
24/07/2012,135.19,135.25,133.03,133.93,173301200,130.37
25/07/2012,134.21,134.56,133.25,133.96,129122300,130.4
26/07/2012,135.89,136.46,135.26,136.17,156526500,132.55
27/07/2012,136.89,139.07,136.14,138.68,236768900,134.99
30/07/2012,138.52,139.34,138.27,138.68,106782000,134.99
31/07/2012,138.49,138.87,137.71,137.71,120575900,134.05
01/08/2012,138.7,138.73,137.4,137.59,138293800,133.93
02/08/2012,136.55,137.57,135.58,136.64,199556600,133
03/08/2012,138.56,139.64,136.68,139.35,157825000,135.64
06/08/2012,139.72,140.17,139.56,139.62,86326200,135.9
07/08/2012,140.18,140.92,140.03,140.32,109545100,136.59
08/08/2012,139.85,140.65,139.81,140.49,89754700,136.75
09/08/2012,140.29,140.89,140.15,140.61,90291700,136.87
10/08/2012,140.04,140.89,139.81,140.84,99792700,137.09
13/08/2012,140.6,140.84,140.04,140.77,79426900,137.02
14/08/2012,141.29,141.38,140.37,140.79,102379400,137.04
15/08/2012,140.64,141.19,140.55,140.95,71085900,137.2
16/08/2012,141.15,142.16,140.8,141.99,112014200,138.21
17/08/2012,142.23,142.3,141.86,142.18,90813700,138.4
20/08/2012,141.98,142.22,141.59,142.19,78255700,138.41
21/08/2012,142.54,143.09,141.45,141.76,105581100,137.99
22/08/2012,141.4,142.05,141.07,141.82,133243500,138.05
23/08/2012,141.47,141.48,140.44,140.66,111466400,136.92
24/08/2012,140.31,141.83,140.22,141.51,99481200,137.74
27/08/2012,141.89,142.08,141.34,141.54,68785900,137.77
28/08/2012,141.18,141.84,140.97,141.4,75689600,137.64
29/08/2012,141.52,141.89,141.12,141.51,65421300,137.74
30/08/2012,140.9,140.94,140.19,140.49,96589900,136.75
